engine-location,num-of-cylinders,engine-size,weight,horsepower,aspiration,price,make
1,4,130,3,111.03,0,161.94,alfa-romero
1,4,109,2,102.3,0,167.4,audi
1,5,136,2,115.5,0,209.4,audi
1,5,136,1,110.79,0,212.52,audi
1,5,136,1,110.33,0,227.04,audi
1,4,108,2,101.26,0,197.16,bmw
1,4,108,0,101.44,0,203.1,bmw
1,6,164,0,121.38,0,253.26000000000002,bmw
1,6,209,0,182.76,0,369.12,bmw
1,6,209,0,182.42,0,442.56,bmw
1,3,61,2,48.07,0,61.812000000000005,chevrolet
1,4,90,1,68.5,0,76.524,dodge
1,4,98,1,102.29,1,95.48400000000001,dodge
1,4,90,1,68.37,0,80.304,dodge
1,4,110,0,86.48,0,109.14,honda
1,6,258,0,176.93,0,426.6,jaguar
1,4,91,1,68.65,0,81.54,mazda
1,4,91,1,68.22,0,80.34,mazda
1,2,70,3,101.07,0,142.14000000000001,mazda
1,2,80,3,135.01,0,187.74,mazda
1,4,122,1,84.0,0,106.14,mazda
1,4,122,1,84.39,0,127.14,mazda
1,5,183,-1,123.58,1,306.624,mercedes-benz
1,5,183,-1,123.56,1,338.976,mercedes-benz
1,8,234,-1,155.33,0,410.208,mercedes-benz
1,8,234,3,155.88,0,420.672,mercedes-benz
1,8,308,0,184.46,0,491.52000000000004,mercedes-benz
1,4,140,1,175.78,1,198.036,mercury
1,4,92,2,68.1,0,74.268,mitsubishi
1,4,92,2,68.4,0,80.028,mitsubishi
1,4,98,1,102.78,1,92.268,mitsubishi
1,4,122,3,88.41,0,101.988,mitsubishi
1,4,122,1,88.49,0,98.268,mitsubishi
1,4,110,1,116.44,1,111.348,mitsubishi
1,4,97,1,69.94,0,79.788,nissan
1,4,97,1,69.65,0,82.188,nissan
1,4,97,1,69.06,0,87.58800000000001,nissan
1,4,97,1,69.36,0,95.988,nissan
1,4,120,0,97.53,0,107.388,nissan
1,4,120,0,97.82,0,114.58800000000001,nissan
1,6,181,0,152.43,0,172.788,nissan
1,6,181,0,152.47,0,161.988,nissan
1,6,181,3,160.3,0,206.388,nissan
1,6,181,1,160.94,0,220.788,nissan
1,4,152,0,95.2,1,158.4,peugot
1,4,152,0,95.19,1,166.32,peugot
1,4,120,0,95.5,0,186.96,peugot
1,4,152,0,95.73,1,202.8,peugot
1,4,120,0,95.07,0,200.34,peugot
1,4,152,0,95.73,1,204.9,peugot
1,4,120,0,97.73,0,199.56,peugot
1,4,152,0,95.84,1,215.4,peugot
1,4,90,1,68.16,0,66.864,plymouth
1,4,98,1,102.53,1,95.48400000000001,plymouth
1,4,90,1,68.02,0,80.304,plymouth
0,6,194,3,207.41,0,390.336,porsche
0,6,194,3,207.28,0,408.336,porsche
0,6,194,3,207.07,0,444.336,porsche
1,4,121,2,110.5,0,146.04,saab
1,4,121,3,160.99,0,180.48000000000002,saab
1,4,121,3,69.07,1,217.8,saab
1,4,108,2,82.19,0,84.636,subaru
1,4,108,2,82.6,0,91.236,subaru
1,4,108,0,94.77,0,85.512,subaru
1,4,108,0,82.78,0,93.3,subaru
1,4,108,0,111.37,0,119.52,subaru
1,4,108,0,94.6,1,135.108,subaru
1,4,108,0,82.56,0,89.556,subaru
1,4,108,0,111.5,0,122.376,subaru
1,4,108,0,62.67,1,140.328,subaru
1,4,92,1,62.23,0,76.056,toyota
1,4,92,1,62.46,0,77.85600000000001,toyota
1,4,92,0,70.55,0,94.776,toyota
1,4,98,0,56.29,0,83.256,toyota
1,4,98,0,56.62,0,86.376,toyota
1,4,110,0,70.99,0,94.776,toyota
1,4,98,1,112.38,0,96.696,toyota
1,4,98,1,112.71,0,98.85600000000001,toyota
1,4,146,2,116.22,0,115.668,toyota
1,4,146,2,92.84,0,138.588,toyota
1,4,146,2,73.83,0,212.028,toyota
1,4,110,-1,92.35,1,128.376,toyota
1,4,122,-1,161.37,0,130.776,toyota
1,6,171,3,156.63,0,198.696,toyota
1,6,161,-1,85.25,0,189.0,toyota
1,4,109,2,68.41,0,98.34,volkswagen
1,4,97,2,90.4,1,113.94,volkswagen
1,4,109,2,90.9,0,119.94,volkswagen
1,4,109,3,110.82,0,139.14000000000001,volkswagen
1,4,109,3,68.67,0,119.76,volkswagen
1,4,141,-1,114.01,0,160.98000000000002,volvo
1,4,141,-1,162.02,0,198.18,volvo
1,4,130,-2,114.62,1,221.04,volvo
1,4,141,-1,111.73,1,271.5,volvo
